shop_name,Review,Location,Number,img
হোসাইন ইলেক্ট্রনিকস এন্ড কম্পিউটার,৪.৩,৪.৩(১৩৭),01919-192466,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npmh5S_Ev22W3MuXnOLsDMZWqxyACYjU5v02K9dx7W3oeYOefnh6_q2bHjQqVmjVGv_C7Jj4cHy9ZXeAac68R_MMcAi9RsrNfWPkIB9v0GHnW33Y_6dBPGoNHYujxkoP9Z5nsIP1A=w163-h92-k-no
ইট ভিলেজ,৪.৭,৪.৭(৯),01711-872743,https://lh3.googleusercontent.com/p/AF1QipNe4-vJ9p0te3HAMIPMT5lC8b0UFpanWfk66bGP=w163-h92-k-no
পিসিজুন | বেষ্ট কম্পিউটার শপ কমিল্লা | পিসি জোন,৪.৯,৪.৯(১৫),01913-634528,https://lh3.googleusercontent.com/p/AF1QipM4d_AYC6rAdaTXHZjzHgpEBaMqRQ2Qbpjhv_dC=w122-h92-k-no
ল্যাপটপ বিডি,৫.০,৫.০(২),01871-010023,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqcqqI8qBKfU84J4fXieJL_cWtwukezVjJHTygY2c89KGfG-nQxEwm3auCmFy-soBlcN7Xqaj-KL9gjE0ehB47uCMXJunGMtMhCFLNoorGidmqhoewmzEs5rYcE9kJTXd461oyX7g=w122-h92-k-no
নেক্সজেন টেকনোলজি,৪.৯,৪.৯(১৩২),01772-727287,https://lh3.googleusercontent.com/p/AF1QipNk4RSiHxOIYT-N9aGk6cWkCfmWxJnqgfY4KzbH=w122-h92-k-no
কম্পিউটার মানিয়া বিডি,৪.৮,"৪.৮(২,৮৫৭)",09613-660044,https://lh3.googleusercontent.com/p/AF1QipMIgxP8Ycu0s4fNklXMWx_VPxvtiS2NGmlcReNm=w122-h92-k-no
IT Boss,৫.০,৫.০(২২),01613-333684,https://lh3.googleusercontent.com/p/AF1QipNnrhgWKuu8Gp42Lk7IrD9xZ7WFjbfDaJXdSSvF=w122-h92-k-no
নেক্সাস কম্পিউটার ~ আইডিবি,৪.৮,৪.৮(১৪৪),09638-017907,https://lh3.googleusercontent.com/p/AF1QipMUBxi8SFsqD_sXedjm6egMyxy4ePBRfvUzdYA9=w122-h92-k-no
রায়ান্স কম্পিউটার্স - বনানী,৪.৩,"৪.৩(৩,৩৯১)",09638-009072,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np-HZGmerXo0yAD5Q8h0OQFWcsocaZTfp5thVDH0Afou-1XbGXke6G_vDTbkFokKFILHA-jWno2X1t3pkJCbAr-6m3rOljBmSQfRIcE7G4tblnUnwVzVvNhyY5GMmJLJBlUXctB5g=w122-h92-k-no
ইকরাম কম্পিউটার শপ,,কোনও রিভিউ নেই,01744-656964,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cHNuRifeCm-aMRTDv7l22g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=148.26633&pitch=0&thumbfov=100
"এক্সচেঞ্জকরি | পিসি এক্সচেঞ্জ, ক্রয় ও বিক্রয়",৪.৮,৪.৮(৪),01757-555999,https://lh3.googleusercontent.com/p/AF1QipOOrzbDD-mqjSNISxaEuS1hdpZJjaXcZgoBjJZA=w163-h92-k-no
ইউজড ল্যাপটপ ইন বিডি | ডিভাইস মামা,৫.০,৫.০(১০),01757-555999,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nogDHUm6CHSTTIYauNtXS4k3OKkd8ICcvdKo27ML_vgBCvk5NKz8RFIEHq0rWavm5-0LHMOxRIbLQDoKbKEVkdQYrZG6rO2a2Ei_ge9fwOnpJdFlOGVLmMkBK4EusQd91461PrA=w80-h106-k-no
রায়ানস কম্পিউটারস | আইডিবি ভবন,৪.৩,"৪.৩(৪,৫৮৩)",09604-442121,https://lh3.googleusercontent.com/p/AF1QipM--xqCSHW8QWSjYOnMiyN16RQk30WUNP2vRKbf=w138-h92-k-no
পিসি হাউস,৪.০,৪.০(২০৯),01912-167988,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqAbnwCh_18iBgd79O68qLdBl997RaKxruZMil6PZsgWesStF1-M4M_xynzJm6VvllwbXMntCAjF82t4lUEje4rNuRgi4zsU9TWfhB8EnAytJNnNQfF0x476aZe0TJnLndl5qck=w122-h92-k-no
𝗔𝗕𝗡 𝗧𝗲𝗰𝗵𝗻𝗼𝗹𝗼𝗴𝘆 | 𝗕𝗲𝘀𝘁 𝗨𝘀𝗲𝗱 𝗟𝗮𝗽𝘁𝗼𝗽 𝗦𝗵𝗼𝗽 𝗶𝗻 𝗗𝗵𝗮𝗸𝗮,৫.০,৫.০(৫০),01322-992004,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrvy1GOnp-yLiMnhdVUyabFb9q4i6-WjRewrwmC-4M1If5BhiGf18rFlnnt8RScW8jAyzag_xxEej4pLyqN-5oqsDTp5VIZNXK00AuIZvwWpQIqVXGMEJW5pFpFuLMbOr-IsG23=w122-h92-k-no
"থে সলিউশনস বিডি - আইডিবি ভবন, কম্পিউটার সার্ভিসিং সেন্টের ইন ঢাকা, সাপোর্ট অ্যান্ড রিপেয়ার সেন্টের",৩.৬,৩.৬(৯৭),01922-730343,https://lh3.googleusercontent.com/p/AF1QipPcxR-ZOlskalccE2XGX_vMokgnPYsl5dHVvvIg=w124-h92-k-no
স্টার টেক,৪.২,"৪.২(২,৯৭১)",01709-995543,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrqAj2n7pIAMffP6CUXQM2iQp0lB-Uqe2idOi4ZCoCJgaDZq30acT6UUR75yNP_TejIWNGfCZ8wUTl5risc4HPVmg5yfjHjqOJLtOjdlk9_j5Yh9AP5PNn1OOV2KU8FjnorPxqy=w163-h92-k-no
